condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
qgan,50,0.7026984625039222,0.44540973657245714,0.4262088582467243,0.4169042363944982,60,70,0.9219810040705563,0.22857142857142856,0.2995169082125604,0.6874205844980941,0.2543859649122807,0.2548262548262548,0.7307297019527236,0.0898876404494382,0.39100077579519005,0.31072210065645517
qgan,51,0.7047379981173517,0.4247105405643574,0.42017574176865713,0.40998159369529014,39,49,0.9104298681281041,0.20915032679738563,0.17989417989417988,0.6949253731343283,0.3343465045592705,0.23954372623574144,0.7290233837689133,0.0947867298578199,0.39963503649635035,0.30808080808080807
ctgan,42,0.7064637590210229,0.45458438571271725,0.42884102313362116,0.41521966353719336,50,60,0.9213483146067416,0.22797927461139897,0.2155688622754491,0.6928028086600351,0.3085399449035813,0.24070021881838075,0.7450365726227796,0.12422360248447205,0.3914120561519405,0.2845849802371542
ctgan,43,0.7171320991528083,0.4640799974754266,0.4422331934425897,0.4343402296419926,59,69,0.9245923913043478,0.19477434679334918,0.23404255319148937,0.6865671641791045,0.3432343234323432,0.30490018148820325,0.7395782246199117,0.1437908496732026,0.4015518913676043,0.37037037037037035
ctgan,44,0.7154063382491371,0.4420783375568405,0.42506190726394405,0.41790566850736643,52,62,0.9287894201424212,0.18087855297157623,0.18719211822660098,0.685456595264938,0.35947712418300654,0.2549019607843137,0.7332677165354331,0.11180124223602485,0.4010600706713781,0.336231884057971
ctgan,45,0.7096015061186068,0.44005813956176365,0.4286724234478845,0.41437889831729324,48,58,0.9288745544050246,0.19795221843003413,0.17582417582417584,0.7106796116504854,0.29652996845425866,0.24040920716112532,0.7515337423312883,0.08275862068965517,0.40064102564102566,0.35858585858585856
ctgan,46,0.7150925635393788,0.5048588474633886,0.428600738126911,0.4187538914875469,58,68,0.9295109612141652,0.2618384401114206,0.16216216216216217,0.6816302421736562,0.3143631436314363,0.2425531914893617,0.7553956834532374,0.11764705882352941,0.3694968553459119,0.35294117647058826
ctgan,47,0.7080326325698149,0.4325242924041378,0.4439926166133845,0.4239992401712689,85,95,0.9244960710625214,0.2222222222222222,0.2248995983935743,0.6918465227817746,0.29708222811671087,0.296028880866426,0.7450980392156863,0.08917197452229299,0.3972950126796281,0.35185185185185186
ctgan,48,0.7174458738625666,0.45594404787202264,0.4503969846559296,0.4349497653568264,54,64,0.9289340101522843,0.23391812865497075,0.2490272373540856,0.7180451127819549,0.30434782608695654,0.28152492668621704,0.7597471022128557,0.11612903225806452,0.398972602739726,0.3588516746411483
ctgan,49,0.7197991841857546,0.4478581207787416,0.4430172714816081,0.4280735277118324,58,68,0.9285957157429445,0.2179176755447942,0.21621621621621623,0.6975903614457831,0.3072463768115942,0.2846975088967972,0.7491574386133847,0.09395973154362416,0.41513292433537835,0.3702213279678068
ctgan,50,0.710542830247882,0.4291163442609923,0.4370151665234429,0.42031060207798154,46,56,0.9240699847120775,0.22988505747126436,0.20535714285714285,0.722117202268431,0.30606860158311344,0.2196969696969697,0.7516709511568124,0.11363636363636363,0.39525021204410515,0.33535353535353535
ctgan,51,0.7179165359272043,0.4418234007499751,0.44225622556608524,0.4277050233466551,85,95,0.9307900067521945,0.22110552763819097,0.25742574257425743,0.7024691358024692,0.32748538011695905,0.2581967213114754,0.7533265097236438,0.0875,0.40669014084507044,0.3320610687022901
classical,42,0.7069344210856605,0.44399514431505915,0.4477531758137453,0.43563557915372925,62,72,0.917415635068679,0.2564102564102564,0.22916666666666666,0.7084123972169513,0.3563636363636364,0.3072,0.7528438469493278,0.15384615384615385,0.35631154879140553,0.3183856502242152
classical,43,0.7016002510197679,0.43681090108203835,0.4508086874133993,0.4305046160049738,77,87,0.9141188594984542,0.21750663129973474,0.2727272727272727,0.7009345794392523,0.32463768115942027,0.3147208121827411,0.7441624365482233,0.08571428571428572,0.39445802770986144,0.3360655737704918
classical,44,0.7044242234075934,0.42727079830207176,0.4345977365739294,0.42235085898926056,71,81,0.9215918712955122,0.19954648526077098,0.26459143968871596,0.705421293272371,0.30618892508143325,0.22932330827067668,0.7583333333333333,0.12048192771084337,0.39016115351993214,0.32786885245901637
classical,45,0.7041104486978349,0.4242743418286561,0.43712870751057753,0.4226359049793332,64,74,0.9151329243353783,0.24719101123595505,0.2222222222222222,0.6958062610750148,0.30303030303030304,0.2764227642276423,0.7355844155844156,0.10526315789473684,0.40281442392260336,0.3228915662650602
classical,46,0.7077188578600565,0.43872231819804686,0.43197962376162186,0.42244192034497674,57,67,0.921677614957049,0.26044226044226043,0.18340611353711792,0.6924564796905223,0.3382352941176471,0.302491103202847,0.7266366816591704,0.11702127659574468,0.3925081433224756,0.289544235924933
classical,47,0.6884217132099153,0.4339495893691443,0.4239436003908348,0.4107391781161224,36,46,0.9092468691027621,0.19861431870669746,0.20233463035019456,0.697462589459987,0.3177570093457944,0.26898047722342733,0.7347368421052631,0.12738853503184713,0.346723044397463,0.30414746543778803
classical,48,0.6972074050831503,0.4283914952685629,0.4377325075635331,0.4211559642529051,54,64,0.9085324232081912,0.21495327102803738,0.1992619926199262,0.7081761006289308,0.33707865168539325,0.2838709677419355,0.7337761880429229,0.13714285714285715,0.37545126353790614,0.3133159268929504
classical,49,0.7026984625039222,0.42229757727743955,0.4408317348226191,0.42552684647810146,66,76,0.9195792331184255,0.24074074074074073,0.2074074074074074,0.7051114023591087,0.3322884012539185,0.3064182194616977,0.7392839132627332,0.13545816733067728,0.3844621513944223,0.28451882845188287
classical,50,0.7008158142453719,0.42026301051232495,0.4371572760548831,0.4216648696344965,44,54,0.9119010819165378,0.21212121212121213,0.2832618025751073,0.6929510155316607,0.314540059347181,0.2909090909090909,0.7257508616445101,0.09230769230769231,0.4015151515151515,0.2913907284768212
classical,51,0.6904612488233448,0.41929558754583673,0.4342741629836734,0.4169595771618952,50,60,0.9089023336214348,0.2204724409448819,0.2047244094488189,0.6967263743051266,0.3192771084337349,0.29545454545454547,0.7164948453608248,0.12173913043478261,0.38605028386050283,0.29975429975429974
