pkt_len_mean,fwd_pkt_len_mean,bwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_max,pkt_len_min,fwd_pkt_len_min,pkt_len_var,pkt_len_std,fwd_byts_b_avg,flow_byts_s,flow_pkts_s,init_bwd_win_byts,init_fwd_win_byts,fwd_psh_flags,psh_flag_cnt,Label
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,950.71347798744,4.42878949373031,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1060.4833914617238,4.887020237150802,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,1801.652206401262,8.302544729959733,0,0,0,0,0
214.66666666666663,146.0,352.0,146,352,146,146,9430.22222222222,97.10933128295252,0.0,1307.369993828564,6.0902328905057335,0,0,0,0,0
217.0,146.0,359.0,146,359,146,146,10082.0,100.40916292848976,0.0,964.6087852004416,4.445201775117242,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
146.0,146.0,0.0,146,0,146,146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
205.66666666666663,146.0,325.0,146,325,146,146,7120.222222222223,84.38140922159468,0.0,1520.0713472710163,7.390946583165395,0,0,0,0,0
205.66666666666663,146.0,325.0,146,325,146,146,7120.222222222223,84.38140922159468,0.0,1357.8882966314686,6.602374213767271,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,1748.8438199190534,8.327827713900255,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,1492.4630615392268,7.106966959710604,0,0,0,0,0
208.66666666666663,146.0,334.0,146,334,146,146,7854.222222222223,88.62404990871396,0.0,172.13436159324925,0.8249250555587025,0,0,0,0,0
210.0,146.0,338.0,146,338,146,146,8192.0,90.50966799187808,0.0,1729.7047970479705,8.23668950975224,0,0,0,0,0
213.0,146.0,347.0,146,347,146,146,8978.0,94.75230867899737,0.0,1407.560294904808,6.608264295327737,0,0,0,0,0
