flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,session_id,Label,Label_Name
5.570334,195.32042423308908,0.8976122437182402,0.5385673462309442,0.3590448974872961,3,2,438,650,146,146,146.0,0.0,325,325,325.0,0.0,325,146,217.6,87.69173279163778,7689.840000000001,60,40,3,1.3925835,4.747916,0.0,1.944771924977387,5.110061,5.110061,0.0,2.5550305,2.5550305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,217.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,325.0,3,2,438,650,Bittorent_4G_Nightime1,0,Bittorent
0.268421,1050.588441291851,18.62745463283424,11.176472779700545,7.450981853133696,3,2,162,120,54,54,54.0,0.0,60,60,60.0,0.0,60,54,56.4,2.9393876913398134,8.639999999999999,60,40,0,0.0671052499999999,0.266829,0.0,0.1153122382520064,0.268421,0.268421,0.0,0.1342105,0.1342105,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0,5,0.6666666666666666,56.4,65535,65535,0.0,0.0,0.0,0.0,0.0,0.0,54.0,60.0,3,2,162,120,Bittorent_4G_Nightime1,0,Bittorent
0.196578,3276.053271474936,15.261117724262125,10.174078482841416,5.087039241420708,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.098289,0.196578,0.0,0.098289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
7.181647,272.639409873529,1.5316820779411742,1.5316820779411742,0.0,11,0,1958,0,178,178,178.0,0.0,0,0,0.0,0.0,178,178,178.0,0.0,0.0,220,0,11,0.7181647000000001,4.010246,0.0,1.2768242594665131,7.181647000000001,4.010246,0.0,0.7181647000000001,1.2768242594665131,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,178.0,0,0,544.0,4.0,0.0,0.0,136238.41723015276,0.0,178.0,0.0,11,0,1958,0,Bittorent_4G_Nightime1,0,Bittorent
0.411533,1564.8805806581734,7.289816369525652,4.859877579683768,2.429938789841884,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.2057665,0.411533,0.0,0.2057665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.177235,3673.089401077665,16.92667926763901,11.284452845092671,5.6422264225463366,2,1,292,359,146,146,146.0,0.0,359,359,359.0,0.0,359,146,217.0,100.40916292848976,10082.0,40,20,2,0.0886175,0.177235,0.0,0.0886175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,359.0,2,1,292,359,Bittorent_4G_Nightime1,0,Bittorent
0.335177,1921.3728865644125,8.950494813188255,5.966996542125504,2.983498271062752,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.1675885,0.335177,0.0,0.1675885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.416278,1547.043081786691,7.206722430683341,4.804481620455562,2.402240810227781,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.208139,0.416278,0.0,0.208139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.176048,3658.093247296192,17.04080705262201,11.36053803508134,5.68026901754067,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.088024,0.176048,0.0,0.088024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.102474,6147.900930967856,29.27571871889455,19.517145812596368,9.758572906298184,2,1,292,338,146,146,146.0,0.0,338,338,338.0,0.0,338,146,210.0,90.50966799187808,8192.0,40,20,2,0.051237,0.102474,0.0,0.051237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,210.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,338.0,2,1,292,338,Bittorent_4G_Nightime1,0,Bittorent
