condition,seed,accuracy,macro_precision,macro_recall,macro_f1,best_epoch,stopped_epoch,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,f1_class_8,f1_class_9
ctgan,47,0.5743566726511071,0.29885370604416445,0.3020287814290707,0.2850024373899793,70,80,0.8986122448979592,0.23779193205944799,0.20353982300884957,0.23069767441860464,0.08260869565217391,0.03211009174311927,0.6541450777202072,0.03333333333333333,0.33432835820895523,0.14285714285714285
ctgan,48,0.5777977259126271,0.29798812448708023,0.3063214157868051,0.29256412522651287,72,82,0.8883175317371043,0.20220588235294118,0.25773195876288657,0.2543689320388349,0.05446293494704992,0.11398963730569948,0.6158574062692072,0.02564102564102564,0.36755952380952384,0.14550641940085593
ctgan,49,0.5538599640933572,0.28961863875848937,0.2966844773045204,0.2804090740206978,67,77,0.8733652312599681,0.2222222222222222,0.20964360587002095,0.2539404553415061,0.07293666026871401,0.14157303370786517,0.484149855907781,0.05263157894736842,0.340956340956341,0.15267175572519084
ctgan,50,0.5570017953321365,0.3083153600355617,0.2923860526130899,0.27411926016989135,59,69,0.8740881699968284,0.19015280135823429,0.2153846153846154,0.20508166969147004,0.057692307692307696,0.10126582278481013,0.5354938271604939,0.08421052631578947,0.33401015228426395,0.14381270903010032
ctgan,51,0.5445840813883902,0.2957695896811779,0.28021846616801915,0.26863507354370697,48,58,0.8766120044578889,0.17054263565891473,0.2571428571428571,0.1689909762100082,0.05263157894736842,0.12468193384223919,0.481421647819063,0.0759493670886076,0.3434704830053667,0.13490725126475547
classical,42,0.5546080191502094,0.2974719916009857,0.2971113670166995,0.2783540094491515,61,71,0.8709572035282588,0.18181818181818182,0.24806201550387597,0.19959266802443992,0.055900621118012424,0.06552706552706553,0.6311239193083573,0.010050251256281407,0.3508968609865471,0.1696113074204947
classical,43,0.546229802513465,0.29748406967523006,0.29083448118277727,0.27526734563299093,47,57,0.8642055618799804,0.17133956386292834,0.21195652173913043,0.24068767908309455,0.08835341365461848,0.0899149453219927,0.5798192771084337,0.06593406593406594,0.33641618497109826,0.10404624277456648
classical,44,0.5504189108318372,0.287615946238533,0.28975857379452163,0.2721085583819243,38,48,0.8674507310870947,0.17391304347826086,0.22857142857142856,0.22830188679245284,0.07453416149068323,0.09032258064516129,0.5340474368783473,0.028708133971291867,0.38133333333333336,0.11390284757118928
classical,45,0.5418910831837224,0.26753634476618676,0.2784725143387529,0.2596991029635469,58,68,0.8675012193139326,0.17717206132879046,0.22391857506361323,0.1246040126715945,0.0632279534109817,0.06582278481012659,0.5737158105403602,0.0,0.3351749539594843,0.16585365853658537
classical,46,0.5571514063435069,0.2991117599813037,0.3143757869472817,0.28669677917727976,42,52,0.8749797832767265,0.18740399385560677,0.2756598240469208,0.19553072625698323,0.05546492659053834,0.10689170182841069,0.5816326530612245,0.09523809523809523,0.3656938653960691,0.1284722222222222
classical,47,0.5519150209455416,0.27809772643153874,0.2952877941152923,0.2707242578518586,70,80,0.8730082085948817,0.19430485762144054,0.192,0.17635270541082165,0.0798611111111111,0.08888888888888889,0.6006779661016949,0.06486486486486487,0.33044636908727515,0.10683760683760683
classical,48,0.5595451825254338,0.3205150306275379,0.29969145564567945,0.28065214976956926,48,58,0.878142514011209,0.1984126984126984,0.21052631578947367,0.1823966065747614,0.13921113689095127,0.0821917808219178,0.595679012345679,0.02040816326530612,0.328781512605042,0.17077175697865354
classical,49,0.5508677438659485,0.2844284274493941,0.3074299140043707,0.2716715262673001,52,62,0.8769654725239099,0.1728395061728395,0.24161073825503357,0.14347826086956522,0.052980132450331126,0.07084468664850137,0.5951008645533141,0.07729468599033816,0.36167664670658684,0.12392426850258176
classical,50,0.5668761220825853,0.30669709095049735,0.30766207389429245,0.2900790253836089,46,56,0.8796761133603239,0.20041753653444677,0.22900763358778625,0.23300970873786409,0.07345575959933222,0.10238095238095238,0.6483439041578577,0.05,0.37070063694267513,0.11379800853485064
classical,51,0.5450329144225015,0.2865583414578755,0.29086316257394096,0.26785876645785217,33,43,0.8770384866275277,0.16442451420029897,0.20095693779904306,0.14181438998957246,0.05087440381558029,0.08198757763975155,0.6133942161339422,0.03619909502262444,0.3505535055350554,0.16134453781512606
