bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
1423.7972116603296,54,54,4464650,54,114,1299.0226500566253,0.0,260.7524862986319,2246089.046919377,54.0,492,10.054711246200608,0,0,0,3
60.46258503401361,54,60,8726,1514,54,1369.2941752325012,197.58271364456053,55.026928733435646,977968.1253687844,1472.513542795233,129,0.0786988457502623,1906,0,0,7
60.0,50,50,60,50,60,53.333333333333336,0.0,0.0,354.3711683617421,50.0,0,0.5,2,0,0,2
1320.319737800437,54,54,1801373,54,114,1115.607380520266,0.0,285.7658132417505,815425.1973077793,54.0,603,5.154411764705882,0,0,0,3
558.0,76,76,1116,115,534,276.6,18.384776310850235,24.0,943.2604619725532,89.0,0,0.6666666666666666,3,0,0,8
90.0,74,74,90,74,90,79.33333333333333,0.0,0.0,2342.957836603301,74.0,0,0.5,2,0,0,2
122.0,72,72,122,72,122,88.66666666666667,0.0,0.0,22133.46646696622,72.0,0,0.5,2,0,0,3
54.0,54,314,1188,1514,54,1194.4379562043796,234.7353253514773,0.0,134901.6543049273,1412.608695652174,27,0.1913043478260869,115,0,0,7
54.0,54,60,54,85,54,71.0,11.785113019775793,0.0,1083969.4656488548,76.66666666666667,2,0.3333333333333333,3,0,1,9
70.41379310344827,54,60,1988,1514,54,1233.38698630137,317.2792156489712,86.85362924598242,509182.6710472816,1358.0661478599222,75,0.1127272727272727,269,0,0,7
327.5,54,54,5240,628,60,242.6551724137931,156.23067454453064,483.9657787488698,38103.12806268037,138.23076923076923,12,1.2307692307692308,5,3,2,8
60.0,60,66,240,66,60,63.6,0.0,0.0,59.04769986462664,66.0,0,0.6666666666666666,0,6,0,0
155.47826086956522,70,70,7152,122,118,133.18072289156626,15.621528102217033,31.03275907981532,573.7949993563363,105.45945945945944,0,1.2432432432432432,37,0,0,8
151.0,69,69,151,69,151,96.33333333333331,0.0,0.0,10226.106648738543,69.0,0,0.5,2,0,0,5
206.0,95,95,206,95,206,132.0,0.0,0.0,16268.846801692616,95.0,0,0.5,2,0,0,7
522.25,54,54,8356,2408,60,421.5357142857143,642.1064456147438,607.5706234669349,6630.734970596232,287.25,11,1.3333333333333333,5,3,0,8
81.56756756756756,54,60,20434,1514,54,1308.7276995305165,276.5531816298706,111.1853919387334,484803.8719454669,1419.406489881368,448,0.0904887714663144,3009,0,0,7
754.0769230769231,54,54,9803,1880,60,513.375,522.538811876549,659.121847208432,3941.0099169768255,228.9090909090909,5,1.181818181818182,2,3,2,5
55.08177570093458,54,60,23197,1514,54,1077.47643732328,170.65973742547845,10.630160962117698,766071.9914528226,1343.1213035606518,1267,0.2636674259681093,1729,0,0,6
392.27272727272725,54,54,4315,288,60,258.7083333333333,112.26300480799856,363.9865359420695,153.2786750481721,145.69230769230768,10,0.8461538461538461,5,3,0,6
487.54545454545456,54,54,5363,850,60,347.8095238095238,266.27221034122203,617.0521362437498,8272.372157079933,194.1,6,1.1,3,3,2,3
